epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,937.98,1.0315,1.85654,1.09092,1.17639,0.81983,0.7066,0.79889,0.5693,0.83075,0.70133,0.79421,0.54554,1.24161,2.26466,1.22797,1.34467,0.00153026,0.00153026,0.00153026
31,969.66,1.03102,1.88615,1.11838,1.16402,0.82246,0.73151,0.80391,0.58508,0.81746,0.72736,0.79298,0.57666,1.2302,2.19186,1.27104,1.33369,0.00152554,0.00152554,0.00152554
32,999.264,1.04877,1.89001,1.12446,1.1711,0.85623,0.7134,0.80858,0.59067,0.84878,0.71389,0.79921,0.58326,1.21834,2.28709,1.16831,1.31173,0.00152083,0.00152083,0.00152083
33,1029.67,1.01224,1.86275,1.09285,1.15814,0.80097,0.69594,0.78333,0.55965,0.79071,0.69121,0.77061,0.55942,1.27152,2.18604,1.26919,1.35229,0.00151611,0.00151611,0.00151611
34,1060.86,1.03488,1.85712,1.08868,1.1627,0.85355,0.74135,0.81775,0.59675,0.84952,0.73732,0.81407,0.59174,1.20923,2.16813,1.18158,1.33502,0.0015114,0.0015114,0.0015114
35,1089.54,1.00186,1.82691,1.07038,1.15547,0.84757,0.72285,0.80058,0.59542,0.8373,0.72098,0.78521,0.58267,1.20918,2.30504,1.21432,1.32655,0.00150668,0.00150668,0.00150668
36,1117.95,0.99965,1.81251,1.0709,1.15715,0.7891,0.74352,0.80687,0.58959,0.80049,0.72476,0.79813,0.57451,1.23219,2.40485,1.2628,1.33934,0.00150197,0.00150197,0.00150197
37,1146.46,1.01045,1.81343,1.0898,1.1551,0.87442,0.67083,0.80534,0.59819,0.87467,0.67177,0.79764,0.58066,1.19055,2.18248,1.17526,1.28648,0.00149725,0.00149725,0.00149725
38,1176.77,0.99817,1.80331,1.10508,1.15525,0.80689,0.73666,0.8041,0.57593,0.82022,0.72814,0.80486,0.571,1.27567,2.21298,1.30049,1.38526,0.00149254,0.00149254,0.00149254
39,1205.34,1.00786,1.79155,1.04325,1.15025,0.82194,0.74598,0.81085,0.56951,0.81127,0.73745,0.78935,0.56883,1.23588,2.23977,1.23211,1.35211,0.00148782,0.00148782,0.00148782
40,1233.75,0.99816,1.82728,1.06182,1.14676,0.87163,0.71512,0.7946,0.58224,0.85952,0.7106,0.7769,0.56669,1.18119,2.22734,1.20814,1.32437,0.00148311,0.00148311,0.00148311
41,1262.27,0.96459,1.74403,1.02164,1.12812,0.8052,0.69593,0.75334,0.55422,0.78873,0.66683,0.72092,0.51936,1.24232,2.32673,1.37166,1.36388,0.00147839,0.00147839,0.00147839
42,1290.82,1.00492,1.80838,1.01898,1.12703,0.85474,0.73207,0.80848,0.58123,0.84447,0.72644,0.79551,0.56172,1.17341,2.11344,1.15092,1.31166,0.00147368,0.00147368,0.00147368
43,1319.28,0.94463,1.71094,0.94679,1.1218,0.86114,0.74217,0.81963,0.59444,0.85393,0.73426,0.80318,0.57403,1.18462,2.44284,1.18053,1.30511,0.00146896,0.00146896,0.00146896
44,1347.75,0.94583,1.73958,0.97374,1.12585,0.83916,0.7627,0.83607,0.6133,0.8266,0.757,0.81822,0.58993,1.16527,2.11729,1.1175,1.29784,0.00146425,0.00146425,0.00146425
45,1378.01,0.96369,1.76455,0.9679,1.13479,0.8333,0.72668,0.80682,0.60755,0.84057,0.71217,0.78893,0.58033,1.12007,2.20445,1.18232,1.27441,0.00145953,0.00145953,0.00145953
46,1406.52,0.95136,1.6671,0.98523,1.12408,0.83349,0.78228,0.83032,0.62074,0.82019,0.77874,0.823,0.59278,1.15992,2.12181,1.1178,1.26989,0.00145481,0.00145481,0.00145481
47,1435.08,0.95088,1.70773,0.95073,1.11315,0.85534,0.70744,0.78992,0.5938,0.85942,0.70138,0.78094,0.57792,1.18022,2.1262,1.17242,1.32725,0.0014501,0.0014501,0.0014501
48,1463.51,0.92412,1.66519,0.96089,1.11619,0.82112,0.74528,0.79881,0.59912,0.81297,0.73865,0.78598,0.58378,1.15521,2.21419,1.1164,1.31335,0.00144538,0.00144538,0.00144538
49,1492.04,0.95237,1.67736,0.94542,1.11399,0.85382,0.73398,0.82464,0.60776,0.81961,0.75148,0.81336,0.59361,1.13529,2.1589,1.16929,1.29267,0.00144067,0.00144067,0.00144067
50,1520.6,0.9669,1.69142,0.94378,1.11641,0.87017,0.77528,0.84149,0.60555,0.84545,0.77754,0.82836,0.61879,1.18327,2.19823,1.09294,1.30337,0.00143595,0.00143595,0.00143595
51,1548.71,0.93262,1.6531,0.92873,1.10622,0.84336,0.78927,0.83713,0.61716,0.82965,0.77791,0.81963,0.59986,1.16887,2.11217,1.12547,1.31254,0.00143124,0.00143124,0.00143124
52,1576.71,0.90288,1.61762,0.92509,1.09357,0.83739,0.75182,0.82226,0.61111,0.82936,0.74324,0.80351,0.59993,1.20595,2.0572,1.10432,1.35093,0.00142652,0.00142652,0.00142652
53,1604.8,0.9358,1.66558,0.92296,1.10158,0.83987,0.75008,0.83411,0.63172,0.83309,0.75238,0.82493,0.62077,1.13083,2.12963,1.09206,1.28275,0.00142181,0.00142181,0.00142181
54,1632.83,0.92865,1.64034,0.96761,1.11499,0.84538,0.78347,0.82947,0.63277,0.86072,0.76059,0.81601,0.61288,1.12076,2.07043,1.09381,1.25663,0.00141709,0.00141709,0.00141709
55,1660.99,0.90399,1.60861,0.92692,1.09423,0.85686,0.76548,0.82922,0.61506,0.85311,0.76169,0.8162,0.59481,1.16349,2.05963,1.06857,1.28636,0.00141238,0.00141238,0.00141238
56,1689.08,0.93007,1.6983,0.93877,1.10662,0.87512,0.72345,0.81858,0.60279,0.84697,0.72386,0.8069,0.57684,1.12961,2.14233,1.10732,1.28199,0.00140766,0.00140766,0.00140766
57,1718.22,0.91261,1.66108,0.91939,1.09296,0.88513,0.73204,0.82605,0.61695,0.87797,0.72943,0.82094,0.60619,1.15796,1.99159,1.14115,1.30752,0.00140295,0.00140295,0.00140295
58,1746.34,0.91456,1.64257,0.89621,1.10234,0.84137,0.75202,0.8282,0.60588,0.83825,0.74918,0.81544,0.59257,1.18779,2.06416,1.05528,1.30904,0.00139823,0.00139823,0.00139823
59,1774.47,0.89823,1.61217,0.9021,1.08458,0.86333,0.74087,0.83578,0.62831,0.82066,0.77495,0.82893,0.60756,1.1383,2.13047,1.0192,1.25223,0.00139352,0.00139352,0.00139352
